Date,Simple Date,Outdoor Temperature (°F),Humidity (%),,Event Rain (in)
2023-04-05T17:35:00-04:00,4/5/2023 17:35,83.8,49,,0
2023-04-05T17:30:00-04:00,4/5/2023 17:30,83.7,49,,0
2023-04-05T17:25:00-04:00,4/5/2023 17:25,83.5,50,,0
2023-04-05T17:20:00-04:00,4/5/2023 17:20,83.7,50,,0
2023-04-05T17:15:00-04:00,4/5/2023 17:15,83.8,49,,0
2023-04-05T17:10:00-04:00,4/5/2023 17:10,84,48,,0
2023-04-05T17:05:00-04:00,4/5/2023 17:05,84.6,48,,0
2023-04-05T17:00:00-04:00,4/5/2023 17:00,84.7,49,,0
2023-04-05T16:55:00-04:00,4/5/2023 16:55,84.7,47,,0
2023-04-05T16:50:00-04:00,4/5/2023 16:50,84.4,48,,0
2023-04-05T16:45:00-04:00,4/5/2023 16:45,84,49,,0
2023-04-05T16:40:00-04:00,4/5/2023 16:40,83.7,50,,0
2023-04-05T16:35:00-04:00,4/5/2023 16:35,83.8,49,,0
2023-04-05T16:30:00-04:00,4/5/2023 16:30,84,48,,0
2023-04-05T16:25:00-04:00,4/5/2023 16:25,85.1,47,,0
2023-04-05T16:20:00-04:00,4/5/2023 16:20,83.8,48,,0
2023-04-05T16:15:00-04:00,4/5/2023 16:15,83.8,48,,0
2023-04-05T16:10:00-04:00,4/5/2023 16:10,84,48,,0
2023-04-05T16:05:00-04:00,4/5/2023 16:05,84.6,47,,0
2023-04-05T16:00:00-04:00,4/5/2023 16:00,84.9,48,,0
2023-04-05T15:55:00-04:00,4/5/2023 15:55,84.2,49,,0
2023-04-05T15:50:00-04:00,4/5/2023 15:50,84.6,48,,0
2023-04-05T15:45:00-04:00,4/5/2023 15:45,84,50,,0
2023-04-05T15:40:00-04:00,4/5/2023 15:40,84.7,50,,0
2023-04-05T15:35:00-04:00,4/5/2023 15:35,84.4,49,,0
2023-04-05T15:30:00-04:00,4/5/2023 15:30,82.9,52,,0
2023-04-05T15:25:00-04:00,4/5/2023 15:25,82.9,52,,0
2023-04-05T15:20:00-04:00,4/5/2023 15:20,84,53,,0
2023-04-05T15:15:00-04:00,4/5/2023 15:15,84,52,,0
2023-04-05T15:10:00-04:00,4/5/2023 15:10,83.5,52,,0
2023-04-05T15:05:00-04:00,4/5/2023 15:05,82.8,53,,0
2023-04-05T15:00:00-04:00,4/5/2023 15:00,82,53,,0
2023-04-05T14:55:00-04:00,4/5/2023 14:55,82,52,,0
2023-04-05T14:50:00-04:00,4/5/2023 14:50,82.6,52,,0
2023-04-05T14:45:00-04:00,4/5/2023 14:45,83.5,51,,0
2023-04-05T14:40:00-04:00,4/5/2023 14:40,84.2,51,,0
2023-04-05T14:35:00-04:00,4/5/2023 14:35,83.5,52,,0
2023-04-05T14:30:00-04:00,4/5/2023 14:30,83.1,52,,0
2023-04-05T14:25:00-04:00,4/5/2023 14:25,82.6,52,,0
2023-04-05T14:20:00-04:00,4/5/2023 14:20,82.9,52,,0
2023-04-05T14:15:00-04:00,4/5/2023 14:15,83.1,52,,0
2023-04-05T14:10:00-04:00,4/5/2023 14:10,82.8,52,,0
2023-04-05T14:05:00-04:00,4/5/2023 14:05,84.6,49,,0
2023-04-05T14:00:00-04:00,4/5/2023 14:00,85.3,49,,0
2023-04-05T13:55:00-04:00,4/5/2023 13:55,84.4,49,,0
2023-04-05T13:50:00-04:00,4/5/2023 13:50,83.1,51,,0
2023-04-05T13:45:00-04:00,4/5/2023 13:45,83.8,50,,0
2023-04-05T13:40:00-04:00,4/5/2023 13:40,82.9,51,,0
2023-04-05T13:35:00-04:00,4/5/2023 13:35,82.8,52,,0
2023-04-05T13:30:00-04:00,4/5/2023 13:30,84.4,49,,0
2023-04-04T23:55:00-04:00,4/4/2023 23:55,69.6,90,,0
2023-04-04T23:50:00-04:00,4/4/2023 23:50,69.6,90,,0
2023-04-04T23:45:00-04:00,4/4/2023 23:45,69.8,90,,0
2023-04-04T23:40:00-04:00,4/4/2023 23:40,69.8,90,,0
2023-04-04T23:35:00-04:00,4/4/2023 23:35,70,90,,0
2023-04-04T23:30:00-04:00,4/4/2023 23:30,70,89,,0
2023-04-04T23:25:00-04:00,4/4/2023 23:25,70.2,89,,0
2023-04-04T23:20:00-04:00,4/4/2023 23:20,70.2,89,,0
2023-04-04T23:15:00-04:00,4/4/2023 23:15,70.2,89,,0
2023-04-04T23:10:00-04:00,4/4/2023 23:10,70.2,89,,0
2023-04-04T23:05:00-04:00,4/4/2023 23:05,70.3,89,,0
2023-04-04T23:00:00-04:00,4/4/2023 23:00,70.3,89,,0
2023-04-04T22:55:00-04:00,4/4/2023 22:55,70.3,89,,0
2023-04-04T22:50:00-04:00,4/4/2023 22:50,70.3,89,,0
2023-04-04T22:45:00-04:00,4/4/2023 22:45,70.3,89,,0
2023-04-04T22:40:00-04:00,4/4/2023 22:40,70.3,89,,0
2023-04-04T22:35:00-04:00,4/4/2023 22:35,70.3,89,,0
2023-04-04T22:30:00-04:00,4/4/2023 22:30,70.3,89,,0
2023-04-04T22:25:00-04:00,4/4/2023 22:25,70.5,89,,0
2023-04-04T22:20:00-04:00,4/4/2023 22:20,70.5,89,,0
2023-04-04T22:15:00-04:00,4/4/2023 22:15,70.5,89,,0
2023-04-04T22:10:00-04:00,4/4/2023 22:10,70.5,88,,0
2023-04-04T22:05:00-04:00,4/4/2023 22:05,70.7,88,,0
2023-04-04T22:00:00-04:00,4/4/2023 22:00,70.9,88,,0
2023-04-04T21:55:00-04:00,4/4/2023 21:55,70.9,88,,0
2023-04-04T21:50:00-04:00,4/4/2023 21:50,70.7,88,,0
2023-04-04T21:45:00-04:00,4/4/2023 21:45,70.9,88,,0
2023-04-04T21:40:00-04:00,4/4/2023 21:40,71.1,87,,0
2023-04-04T21:35:00-04:00,4/4/2023 21:35,71.1,87,,0
2023-04-04T21:30:00-04:00,4/4/2023 21:30,71.2,87,,0
2023-04-04T21:25:00-04:00,4/4/2023 21:25,71.2,87,,0
2023-04-04T21:20:00-04:00,4/4/2023 21:20,71.4,87,,0
2023-04-04T21:15:00-04:00,4/4/2023 21:15,71.4,87,,0
2023-04-04T21:10:00-04:00,4/4/2023 21:10,71.6,86,,0
2023-04-04T21:05:00-04:00,4/4/2023 21:05,72,86,,0
2023-04-04T21:00:00-04:00,4/4/2023 21:00,72,85,,0
2023-04-04T20:55:00-04:00,4/4/2023 20:55,72.1,85,,0
2023-04-04T20:50:00-04:00,4/4/2023 20:50,72.3,85,,0
2023-04-04T20:45:00-04:00,4/4/2023 20:45,72.5,84,,0
2023-04-04T20:40:00-04:00,4/4/2023 20:40,72.5,84,,0
2023-04-04T20:35:00-04:00,4/4/2023 20:35,72.7,84,,0
2023-04-04T20:30:00-04:00,4/4/2023 20:30,72.7,83,,0
2023-04-04T20:25:00-04:00,4/4/2023 20:25,72.9,83,,0
2023-04-04T20:20:00-04:00,4/4/2023 20:20,73,83,,0
2023-04-04T20:15:00-04:00,4/4/2023 20:15,73,82,,0
2023-04-04T20:10:00-04:00,4/4/2023 20:10,73.4,82,,0
2023-04-04T20:05:00-04:00,4/4/2023 20:05,73.6,81,,0
2023-04-04T20:00:00-04:00,4/4/2023 20:00,73.8,81,,0
2023-04-04T19:55:00-04:00,4/4/2023 19:55,73.9,80,,0
2023-04-04T19:50:00-04:00,4/4/2023 19:50,74.1,80,,0
2023-04-04T19:45:00-04:00,4/4/2023 19:45,74.5,79,,0
2023-04-04T19:40:00-04:00,4/4/2023 19:40,74.7,78,,0
2023-04-04T19:35:00-04:00,4/4/2023 19:35,74.8,78,,0
2023-04-04T19:30:00-04:00,4/4/2023 19:30,75,78,,0
2023-04-04T19:25:00-04:00,4/4/2023 19:25,75.2,77,,0
2023-04-04T19:20:00-04:00,4/4/2023 19:20,75.4,77,,0
2023-04-04T19:15:00-04:00,4/4/2023 19:15,75.7,77,,0
2023-04-04T19:10:00-04:00,4/4/2023 19:10,75.7,76,,0
2023-04-04T19:05:00-04:00,4/4/2023 19:05,75.7,76,,0
2023-04-04T19:00:00-04:00,4/4/2023 19:00,75.6,76,,0
2023-04-04T18:55:00-04:00,4/4/2023 18:55,75.4,77,,0
2023-04-04T18:50:00-04:00,4/4/2023 18:50,75.6,77,,0
2023-04-04T18:45:00-04:00,4/4/2023 18:45,75.9,75,,0
2023-04-04T18:40:00-04:00,4/4/2023 18:40,76.3,75,,0
2023-04-04T18:35:00-04:00,4/4/2023 18:35,76.3,74,,0
2023-04-04T18:30:00-04:00,4/4/2023 18:30,75.9,75,,0
2023-04-04T18:25:00-04:00,4/4/2023 18:25,75.7,75,,0
2023-04-04T18:20:00-04:00,4/4/2023 18:20,76.1,74,,0
2023-04-04T18:15:00-04:00,4/4/2023 18:15,76.5,74,,0
2023-04-04T18:10:00-04:00,4/4/2023 18:10,76.1,75,,0
2023-04-04T18:05:00-04:00,4/4/2023 18:05,76.8,73,,0
2023-04-04T18:00:00-04:00,4/4/2023 18:00,77.2,73,,0
2023-04-04T17:55:00-04:00,4/4/2023 17:55,76.8,72,,0
2023-04-04T17:50:00-04:00,4/4/2023 17:50,76.5,73,,0
2023-04-04T17:45:00-04:00,4/4/2023 17:45,76.8,72,,0
2023-04-04T17:40:00-04:00,4/4/2023 17:40,76.5,74,,0
2023-04-04T17:35:00-04:00,4/4/2023 17:35,76.8,74,,0
2023-04-04T17:30:00-04:00,4/4/2023 17:30,76.3,74,,0
2023-04-04T17:25:00-04:00,4/4/2023 17:25,76.1,74,,0
2023-04-04T17:20:00-04:00,4/4/2023 17:20,75.4,74,,0
2023-04-04T17:15:00-04:00,4/4/2023 17:15,75.6,75,,0
2023-04-04T17:10:00-04:00,4/4/2023 17:10,76.1,74,,0
2023-04-04T17:05:00-04:00,4/4/2023 17:05,76.3,73,,0
2023-04-04T17:00:00-04:00,4/4/2023 17:00,76.8,72,,0
2023-04-04T16:55:00-04:00,4/4/2023 16:55,77.7,70,,0
2023-04-04T16:50:00-04:00,4/4/2023 16:50,77.5,70,,0
2023-04-04T16:45:00-04:00,4/4/2023 16:45,76.8,71,,0
2023-04-04T16:42:00-04:00,4/4/2023 16:42,76.1,72,,0
2023-04-04T16:35:00-04:00,4/4/2023 16:35,75.7,73,,0
2023-04-04T16:30:00-04:00,4/4/2023 16:30,75.6,73,,0
2023-04-04T16:25:00-04:00,4/4/2023 16:25,74.7,76,,0
2023-04-04T16:20:00-04:00,4/4/2023 16:20,74.7,77,,0
2023-04-04T16:15:00-04:00,4/4/2023 16:15,74.1,77,,0
2023-04-04T16:10:00-04:00,4/4/2023 16:10,74.1,76,,0
2023-04-04T16:05:00-04:00,4/4/2023 16:05,74.8,77,,0
2023-04-04T16:00:00-04:00,4/4/2023 16:00,75.4,74,,0
2023-04-04T15:56:00-04:00,4/4/2023 15:56,74.8,75,,0
2023-04-04T15:50:00-04:00,4/4/2023 15:50,74.3,77,,0
2023-04-04T15:45:00-04:00,4/4/2023 15:45,73.9,78,,0
2023-04-04T15:40:00-04:00,4/4/2023 15:40,73.9,78,,0
2023-04-04T15:35:00-04:00,4/4/2023 15:35,74.3,77,,0
2023-04-04T15:30:00-04:00,4/4/2023 15:30,74.8,78,,0
2023-04-04T15:25:00-04:00,4/4/2023 15:25,74.8,78,,0
2023-04-04T15:20:00-04:00,4/4/2023 15:20,74.1,78,,0
2023-04-04T15:15:00-04:00,4/4/2023 15:15,73.8,80,,0
2023-04-04T15:10:00-04:00,4/4/2023 15:10,74.1,79,,0
2023-04-04T15:05:00-04:00,4/4/2023 15:05,74.1,78,,0
2023-04-04T15:00:00-04:00,4/4/2023 15:00,74.5,78,,0
2023-04-04T14:55:00-04:00,4/4/2023 14:55,74.3,78,,0
2023-04-04T14:50:00-04:00,4/4/2023 14:50,74.1,78,,0
2023-04-04T14:45:00-04:00,4/4/2023 14:45,74.1,78,,0
2023-04-04T14:40:00-04:00,4/4/2023 14:40,73.8,79,,0
2023-04-04T14:35:00-04:00,4/4/2023 14:35,73.8,78,,0
2023-04-04T14:30:00-04:00,4/4/2023 14:30,74.5,77,,0
2023-04-04T14:25:00-04:00,4/4/2023 14:25,74.8,77,,0
2023-04-04T14:20:00-04:00,4/4/2023 14:20,75.6,75,,0
2023-04-04T14:15:00-04:00,4/4/2023 14:15,75.6,73,,0
2023-04-04T14:10:00-04:00,4/4/2023 14:10,74.8,74,,0
2023-04-04T14:05:00-04:00,4/4/2023 14:05,75,75,,0
2023-04-04T14:00:00-04:00,4/4/2023 14:00,76.1,72,,0
2023-04-04T13:55:00-04:00,4/4/2023 13:55,74.7,74,,0
2023-04-04T13:50:00-04:00,4/4/2023 13:50,74.5,75,,0
2023-04-04T13:45:00-04:00,4/4/2023 13:45,75.6,71,,0
2023-04-04T13:40:00-04:00,4/4/2023 13:40,75.6,72,,0
2023-04-04T13:35:00-04:00,4/4/2023 13:35,74.1,76,,0
2023-04-04T13:30:00-04:00,4/4/2023 13:30,72.5,78,,0
2023-04-04T13:26:00-04:00,4/4/2023 13:26,71.8,80,,0
2023-04-03T23:55:00-04:00,4/3/2023 23:55,57,95,,0.08
2023-04-03T23:50:00-04:00,4/3/2023 23:50,57,95,,0.08
2023-04-03T23:45:00-04:00,4/3/2023 23:45,57,95,,0.08
2023-04-03T23:40:00-04:00,4/3/2023 23:40,57,95,,0.08
2023-04-03T23:35:00-04:00,4/3/2023 23:35,57,95,,0.08
2023-04-03T23:30:00-04:00,4/3/2023 23:30,57,95,,0.08
2023-04-03T23:25:00-04:00,4/3/2023 23:25,57,95,,0.08
2023-04-03T23:20:00-04:00,4/3/2023 23:20,57,95,,0.08
2023-04-03T23:15:00-04:00,4/3/2023 23:15,57,95,,0.08
2023-04-03T23:10:00-04:00,4/3/2023 23:10,57,95,,0.08
2023-04-03T23:05:00-04:00,4/3/2023 23:05,56.8,95,,0.08
2023-04-03T23:00:00-04:00,4/3/2023 23:00,56.8,95,,0.08
2023-04-03T22:55:00-04:00,4/3/2023 22:55,56.8,95,,0.08
2023-04-03T22:50:00-04:00,4/3/2023 22:50,56.8,95,,0.08
2023-04-03T22:45:00-04:00,4/3/2023 22:45,56.8,95,,0.08
2023-04-03T22:40:00-04:00,4/3/2023 22:40,56.8,95,,0.08
2023-04-03T22:35:00-04:00,4/3/2023 22:35,56.8,95,,0.08
2023-04-03T22:30:00-04:00,4/3/2023 22:30,56.8,95,,0.08
2023-04-03T22:25:00-04:00,4/3/2023 22:25,56.8,95,,0.08
2023-04-03T22:20:00-04:00,4/3/2023 22:20,56.8,95,,0.08
2023-04-03T22:15:00-04:00,4/3/2023 22:15,56.8,95,,0.08
2023-04-03T22:10:00-04:00,4/3/2023 22:10,56.8,95,,0.08
2023-04-03T22:05:00-04:00,4/3/2023 22:05,56.8,95,,0.08
2023-04-03T22:00:00-04:00,4/3/2023 22:00,56.8,95,,0.08
2023-04-03T21:55:00-04:00,4/3/2023 21:55,56.8,95,,0.08
2023-04-03T21:50:00-04:00,4/3/2023 21:50,56.8,95,,0.08
2023-04-03T21:45:00-04:00,4/3/2023 21:45,57,95,,0.08
2023-04-03T21:40:00-04:00,4/3/2023 21:40,57,94,,0.08
2023-04-03T21:35:00-04:00,4/3/2023 21:35,57,94,,0.08
2023-04-03T21:30:00-04:00,4/3/2023 21:30,57,94,,0.08
2023-04-03T21:25:00-04:00,4/3/2023 21:25,57.2,93,,0.08
2023-04-03T21:20:00-04:00,4/3/2023 21:20,57.2,93,,0.08
2023-04-03T21:15:00-04:00,4/3/2023 21:15,57.4,92,,0.08
2023-04-03T21:10:00-04:00,4/3/2023 21:10,57.4,92,,0.08
2023-04-03T21:05:00-04:00,4/3/2023 21:05,57.4,91,,0.08
2023-04-03T21:00:00-04:00,4/3/2023 21:00,57.4,91,,0.08
2023-04-03T20:55:00-04:00,4/3/2023 20:55,57.4,91,,0.08
2023-04-03T20:50:00-04:00,4/3/2023 20:50,57.4,91,,0.08
2023-04-03T20:45:00-04:00,4/3/2023 20:45,57.2,91,,0.08
2023-04-03T20:40:00-04:00,4/3/2023 20:40,57.4,91,,0.08
2023-04-03T20:35:00-04:00,4/3/2023 20:35,57.4,91,,0.08
2023-04-03T20:30:00-04:00,4/3/2023 20:30,57.6,90,,0.08
2023-04-03T20:25:00-04:00,4/3/2023 20:25,57.6,90,,0.08
2023-04-03T20:20:00-04:00,4/3/2023 20:20,57.6,90,,0.08
2023-04-03T20:15:00-04:00,4/3/2023 20:15,57.6,90,,0.08
2023-04-03T20:10:00-04:00,4/3/2023 20:10,57.6,90,,0.08
2023-04-03T20:05:00-04:00,4/3/2023 20:05,57.6,90,,0.08
2023-04-03T20:00:00-04:00,4/3/2023 20:00,57.6,90,,0.08
2023-04-03T19:55:00-04:00,4/3/2023 19:55,57.7,90,,0.08
2023-04-03T19:50:00-04:00,4/3/2023 19:50,57.7,89,,0.08
2023-04-03T19:45:00-04:00,4/3/2023 19:45,57.9,89,,0.08
2023-04-03T19:40:00-04:00,4/3/2023 19:40,57.9,88,,0.08
2023-04-03T19:35:00-04:00,4/3/2023 19:35,57.9,88,,0.08
2023-04-03T19:30:00-04:00,4/3/2023 19:30,57.9,88,,0.08
2023-04-03T19:25:00-04:00,4/3/2023 19:25,58.1,88,,0.08
2023-04-03T19:20:00-04:00,4/3/2023 19:20,58.1,87,,0.08
2023-04-03T19:15:00-04:00,4/3/2023 19:15,58.1,87,,0.08
2023-04-03T19:10:00-04:00,4/3/2023 19:10,58.1,87,,0.08
2023-04-03T19:05:00-04:00,4/3/2023 19:05,58.3,86,,0.08
2023-04-03T19:00:00-04:00,4/3/2023 19:00,58.5,86,,0.08
2023-04-03T18:55:00-04:00,4/3/2023 18:55,58.3,85,,0.08
2023-04-03T18:50:00-04:00,4/3/2023 18:50,58.3,85,,0.08
2023-04-03T18:45:00-04:00,4/3/2023 18:45,58.3,85,,0.08
2023-04-03T18:40:00-04:00,4/3/2023 18:40,58.1,85,,0.08
2023-04-03T18:35:00-04:00,4/3/2023 18:35,58.3,85,,0.08
2023-04-03T18:30:00-04:00,4/3/2023 18:30,58.3,84,,0.08
2023-04-03T18:25:00-04:00,4/3/2023 18:25,58.3,84,,0.08
2023-04-03T18:20:00-04:00,4/3/2023 18:20,58.3,84,,0.08
2023-04-03T18:15:00-04:00,4/3/2023 18:15,58.3,84,,0.08
2023-04-03T18:10:00-04:00,4/3/2023 18:10,58.3,83,,0.08
2023-04-03T18:05:00-04:00,4/3/2023 18:05,58.1,83,,0.08
2023-04-03T18:00:00-04:00,4/3/2023 18:00,58.1,83,,0.08
2023-04-03T17:55:00-04:00,4/3/2023 17:55,58.1,83,,0.08
2023-04-03T17:50:00-04:00,4/3/2023 17:50,57.9,83,,0.08
2023-04-03T17:45:00-04:00,4/3/2023 17:45,57.7,83,,0.08
2023-04-03T17:40:00-04:00,4/3/2023 17:40,57.7,83,,0.08
2023-04-03T17:35:00-04:00,4/3/2023 17:35,57.7,82,,0.08
2023-04-03T17:30:00-04:00,4/3/2023 17:30,57.7,82,,0.08
2023-04-03T17:25:00-04:00,4/3/2023 17:25,57.7,82,,0.08
2023-04-03T17:20:00-04:00,4/3/2023 17:20,57.7,82,,0.08
2023-04-03T17:15:00-04:00,4/3/2023 17:15,57.6,82,,0.08
2023-04-03T17:10:00-04:00,4/3/2023 17:10,57.4,82,,0.08
2023-04-03T17:05:00-04:00,4/3/2023 17:05,57.6,82,,0.08
2023-04-03T17:00:00-04:00,4/3/2023 17:00,57.6,83,,0.08
2023-04-03T16:55:00-04:00,4/3/2023 16:55,57.6,82,,0.08
2023-04-03T16:50:00-04:00,4/3/2023 16:50,57.6,82,,0.08
2023-04-03T16:45:00-04:00,4/3/2023 16:45,57.2,83,,0.08
2023-04-03T16:40:00-04:00,4/3/2023 16:40,57,83,,0.08
2023-04-03T16:35:00-04:00,4/3/2023 16:35,57,83,,0.08
2023-04-03T16:30:00-04:00,4/3/2023 16:30,57,84,,0.08
2023-04-03T16:25:00-04:00,4/3/2023 16:25,57,83,,0.08
2023-04-03T16:20:00-04:00,4/3/2023 16:20,57.2,83,,0.08
2023-04-03T16:15:00-04:00,4/3/2023 16:15,57.4,82,,0.08
2023-04-03T16:10:00-04:00,4/3/2023 16:10,57.2,83,,0.08
2023-04-03T16:05:00-04:00,4/3/2023 16:05,57,84,,0.08
2023-04-03T16:00:00-04:00,4/3/2023 16:00,57,84,,0.08
2023-04-03T15:55:00-04:00,4/3/2023 15:55,57,86,,0.08
2023-04-03T15:50:00-04:00,4/3/2023 15:50,56.8,85,,0.08
2023-04-03T15:45:00-04:00,4/3/2023 15:45,57.2,84,,0.08
2023-04-03T15:40:00-04:00,4/3/2023 15:40,57.2,83,,0.08
2023-04-03T15:35:00-04:00,4/3/2023 15:35,57,82,,0.08
2023-04-03T15:30:00-04:00,4/3/2023 15:30,57.2,82,,0.08
2023-04-03T15:25:00-04:00,4/3/2023 15:25,57.4,80,,0.08
2023-04-03T15:20:00-04:00,4/3/2023 15:20,57.2,81,,0.08
2023-04-03T15:15:00-04:00,4/3/2023 15:15,57.2,81,,0.08
2023-04-03T15:10:00-04:00,4/3/2023 15:10,57,81,,0.08
2023-04-03T15:05:00-04:00,4/3/2023 15:05,57.4,80,,0.08
2023-04-03T15:00:00-04:00,4/3/2023 15:00,57.7,80,,0.08
2023-04-03T14:55:00-04:00,4/3/2023 14:55,58.1,78,,0.08
2023-04-03T14:50:00-04:00,4/3/2023 14:50,58.1,78,,0.08
2023-04-03T14:45:00-04:00,4/3/2023 14:45,58.1,77,,0.08
2023-04-03T14:40:00-04:00,4/3/2023 14:40,57.7,79,,0.08
2023-04-03T14:35:00-04:00,4/3/2023 14:35,57.4,80,,0.08
2023-04-03T14:30:00-04:00,4/3/2023 14:30,57.2,81,,0.08
2023-04-03T14:25:00-04:00,4/3/2023 14:25,57.2,81,,0.08
2023-04-03T14:20:00-04:00,4/3/2023 14:20,57.6,79,,0.08
2023-04-03T14:15:00-04:00,4/3/2023 14:15,57.6,83,,0.08
2023-04-03T14:10:00-04:00,4/3/2023 14:10,57.7,83,,0.08
2023-04-03T14:05:00-04:00,4/3/2023 14:05,57.9,82,,0.08
